Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,197,0,Some Random Commen with Id 0
1,0,2,79,7,Some Random Commen with Id 1
2,0,2,58,2,Some Random Commen with Id 2
3,0,2,103,5,Some Random Commen with Id 3
4,0,2,144,6,Some Random Commen with Id 4
5,0,2,94,6,Some Random Commen with Id 5
6,0,2,17,4,Some Random Commen with Id 6
7,0,2,69,0,Some Random Commen with Id 7
8,1,1,188,3,Some Random Commen with Id 8
9,1,1,36,1,Some Random Commen with Id 9
10,1,1,101,2,Some Random Commen with Id 10
11,2,4,37,4,Some Random Commen with Id 11
12,2,4,188,4,Some Random Commen with Id 12
13,2,4,27,7,Some Random Commen with Id 13
14,2,4,131,6,Some Random Commen with Id 14
15,3,1,184,2,Some Random Commen with Id 15
16,3,1,152,5,Some Random Commen with Id 16
17,3,1,145,7,Some Random Commen with Id 17
18,3,1,160,2,Some Random Commen with Id 18
19,3,1,107,3,Some Random Commen with Id 19
20,3,1,116,4,Some Random Commen with Id 20
21,3,1,80,9,Some Random Commen with Id 21
22,4,2,164,4,Some Random Commen with Id 22
23,4,2,92,6,Some Random Commen with Id 23
24,4,2,117,4,Some Random Commen with Id 24
25,4,2,178,7,Some Random Commen with Id 25
26,4,2,17,7,Some Random Commen with Id 26
27,5,1,153,2,Some Random Commen with Id 27
28,5,1,0,7,Some Random Commen with Id 28
29,5,1,50,6,Some Random Commen with Id 29
30,5,1,126,2,Some Random Commen with Id 30
31,5,1,140,1,Some Random Commen with Id 31
32,5,1,136,7,Some Random Commen with Id 32
33,6,6,42,1,Some Random Commen with Id 33
34,6,6,20,6,Some Random Commen with Id 34
35,6,6,179,7,Some Random Commen with Id 35
36,6,6,147,7,Some Random Commen with Id 36
37,7,3,103,1,Some Random Commen with Id 37
38,7,3,87,4,Some Random Commen with Id 38
39,7,3,141,3,Some Random Commen with Id 39
40,7,3,160,7,Some Random Commen with Id 40
41,7,3,67,9,Some Random Commen with Id 41
42,7,3,193,8,Some Random Commen with Id 42
43,7,3,62,4,Some Random Commen with Id 43
44,7,3,31,6,Some Random Commen with Id 44
45,7,3,165,8,Some Random Commen with Id 45
46,8,5,158,9,Some Random Commen with Id 46
47,8,5,51,4,Some Random Commen with Id 47
48,8,5,110,6,Some Random Commen with Id 48
49,8,5,111,3,Some Random Commen with Id 49
50,8,5,116,9,Some Random Commen with Id 50
51,8,5,198,6,Some Random Commen with Id 51
52,8,5,151,8,Some Random Commen with Id 52
53,9,1,166,7,Some Random Commen with Id 53
54,9,1,7,5,Some Random Commen with Id 54
55,9,1,142,9,Some Random Commen with Id 55
56,10,8,6,9,Some Random Commen with Id 56
57,10,8,181,8,Some Random Commen with Id 57
58,10,8,174,8,Some Random Commen with Id 58
59,10,8,52,0,Some Random Commen with Id 59
60,10,8,46,2,Some Random Commen with Id 60
61,10,8,186,5,Some Random Commen with Id 61
62,10,8,163,4,Some Random Commen with Id 62
63,10,8,137,4,Some Random Commen with Id 63
64,10,8,188,8,Some Random Commen with Id 64
65,12,9,35,8,Some Random Commen with Id 65
66,12,9,6,1,Some Random Commen with Id 66
67,12,9,184,9,Some Random Commen with Id 67
68,12,9,133,9,Some Random Commen with Id 68
69,12,9,72,4,Some Random Commen with Id 69
70,13,7,158,4,Some Random Commen with Id 70
71,13,7,69,9,Some Random Commen with Id 71
72,13,7,192,8,Some Random Commen with Id 72
73,13,7,184,0,Some Random Commen with Id 73
74,13,7,69,9,Some Random Commen with Id 74
75,14,4,15,5,Some Random Commen with Id 75
76,14,4,175,0,Some Random Commen with Id 76
77,14,4,185,5,Some Random Commen with Id 77
78,14,4,78,5,Some Random Commen with Id 78
79,14,4,106,9,Some Random Commen with Id 79
80,14,4,11,9,Some Random Commen with Id 80
81,14,4,110,9,Some Random Commen with Id 81
82,16,3,172,5,Some Random Commen with Id 82
83,16,3,109,2,Some Random Commen with Id 83
84,16,3,157,9,Some Random Commen with Id 84
85,16,3,83,5,Some Random Commen with Id 85
86,16,3,119,8,Some Random Commen with Id 86
87,16,3,39,3,Some Random Commen with Id 87
88,16,3,3,1,Some Random Commen with Id 88
89,16,3,101,1,Some Random Commen with Id 89
90,16,3,168,2,Some Random Commen with Id 90
91,17,4,44,3,Some Random Commen with Id 91
92,17,4,41,6,Some Random Commen with Id 92
93,17,4,78,7,Some Random Commen with Id 93
94,17,4,21,2,Some Random Commen with Id 94
95,17,4,128,3,Some Random Commen with Id 95
96,17,4,12,8,Some Random Commen with Id 96
97,18,9,182,8,Some Random Commen with Id 97
98,19,4,192,4,Some Random Commen with Id 98
99,19,4,73,4,Some Random Commen with Id 99
100,19,4,84,8,Some Random Commen with Id 100
101,19,4,166,3,Some Random Commen with Id 101
102,19,4,55,1,Some Random Commen with Id 102
103,20,9,11,7,Some Random Commen with Id 103
104,20,9,193,7,Some Random Commen with Id 104
105,20,9,13,7,Some Random Commen with Id 105
106,20,9,198,8,Some Random Commen with Id 106
107,21,5,132,1,Some Random Commen with Id 107
108,22,5,54,7,Some Random Commen with Id 108
109,22,5,4,0,Some Random Commen with Id 109
110,22,5,97,9,Some Random Commen with Id 110
111,22,5,147,5,Some Random Commen with Id 111
112,22,5,184,0,Some Random Commen with Id 112
113,22,5,184,3,Some Random Commen with Id 113
114,22,5,140,4,Some Random Commen with Id 114
115,22,5,15,5,Some Random Commen with Id 115
116,22,5,40,8,Some Random Commen with Id 116
117,23,8,26,2,Some Random Commen with Id 117
118,23,8,1,7,Some Random Commen with Id 118
119,23,8,150,8,Some Random Commen with Id 119
120,23,8,126,5,Some Random Commen with Id 120
121,24,9,63,5,Some Random Commen with Id 121
122,24,9,74,3,Some Random Commen with Id 122
123,24,9,93,7,Some Random Commen with Id 123
124,24,9,157,3,Some Random Commen with Id 124
